,date,team_id,CURRENT_SCORE_FEATURE,LAST_WIN_FEATURE,MINOR_PERIOD_FEATURE,MIN_TEAM_FEATURE,ONE_MAYOR_FEATURE,PRE_RANK_FEATURE,PRE_VS_FEATURE,RANK_STATUS_FEATURE,TWO_MAYOR_FEATURE
30,20040814,14555,2.0,"{'win': 1, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 5, 'toteam': 14554, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14554, 'area': 1}","{'weight_score': 3, 'toteam': 14554, 'weight_num': 0}",2.0
31,20040814,14556,1.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 7, 'toteam': 14584, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14584, 'area': 2}","{'weight_score': -1, 'toteam': 14584, 'weight_num': 0}",2.0
32,20040814,14557,6.0,"{'win': 3, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -1, 'toteam': 14640, 'weight_num': 0}","{'pre': 0, 'weight_goal': 2, 'toteam': 14640, 'area': 1}","{'weight_score': 0, 'toteam': 14640, 'weight_num': 0}",1.0
33,20040814,14561,2.0,"{'win': 1, 'area': 2}",1.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 6, 'toteam': 14566, 'weight_num': 0}","{'pre': 0, 'weight_goal': 2, 'toteam': 14566, 'area': 2}","{'weight_score': 0, 'toteam': 14566, 'weight_num': 0}",1.0
34,20040814,14564,2.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -5, 'toteam': 14551, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14551, 'area': 2}","{'weight_score': 1, 'toteam': 14551, 'weight_num': 0}",1.0
35,20040814,14566,1.0,"{'win': 0, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 1}",1.0,"{'pre': 0, 'weight_score': -6, 'toteam': 14561, 'weight_num': 0}","{'pre': 0, 'weight_goal': -2, 'toteam': 14561, 'area': 1}","{'weight_score': 0, 'toteam': 14561, 'weight_num': 0}",1.0
36,20040814,14573,1.0,"{'win': 0, 'area': 1}",1.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -2, 'toteam': 14547, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14547, 'area': 1}","{'weight_score': 1, 'toteam': 14547, 'weight_num': 0}",1.0
37,20040814,14584,1.0,"{'win': 0, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -7, 'toteam': 14556, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14556, 'area': 1}","{'weight_score': 1, 'toteam': 14556, 'weight_num': 0}",1.0
38,20040814,14629,4.0,"{'win': 3, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 17, 'toteam': 14546, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14546, 'area': 1}","{'weight_score': -1, 'toteam': 14546, 'weight_num': 0}",1.0
39,20040814,14640,4.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 1, 'toteam': 14557, 'weight_num': 0}","{'pre': 0, 'weight_goal': -2, 'toteam': 14557, 'area': 2}","{'weight_score': 0, 'toteam': 14557, 'weight_num': 0}",1.0
